"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNORSSHMMMLCDEGJBF00714103",1,3,18
"TQRMNORQUHLMLOCDEFPCH00715601",1,1,9
"TQRMNOQWXHLMNOCDEIJAH00719609",2,1,11
"TQSMNORXSHKLMUCDEIJAH00794113",1,1,13
"TQSMNORXSHKLMUCDEIJAH00794113",1,2,8
"TQSMNOQVPHMMMTCDEIJAH00791558",1,1,12
"TQRMNORUVHJMKSCDEGNFJ00794130",1,2,3
"TQRMNOSUXHMNLMCDEGNFJ00712434",1,1,5
"TQRMNORPSHJNLLCDEGNFJ00794132",1,1,4
"TQRMNOPSRHLMLNCDEGNFJ00778031",1,1,4
"TQRMNOPSRHLMLNCDEGNFJ00778031",1,2,0
"TQRMNOPUXHMLKNCDEHJGH00712384",1,2,5
"TQRMNOPRWHMOKOCDEHNHB00712245",1,1,6
"TQRMNOPRWHMOKOCDEHNHB00712245",1,2,3
"TQRMNOPYRHMOKRCDEHNHB00712336",1,1,4
"TQRMNOPYUHMOKRCDEHNHB00712337",1,1,9
"TQRMNOPYUHMOKRCDEHNHB00712337",1,2,4
"TQRMNOPWVHLLKQCDEHNHB00717584",1,1,4
"TQRMNOPWVHLLKQCDEHNHB00717584",1,2,3
"TQRMNOUXPHKLKNCDEGLDF00789418",1,4,10
"TQRMNORVPHJMKNCDEGLDF00794176",1,1,3
"TQSMNOPUWHMOKOCDEGLDF00716393",1,1,2
"TQSMNOPUWHMOKOCDEGLDF00716393",1,2,6
"TQRMNOQYTHMOKOCDEGLDF00794177",1,1,5
"TQRMNOQSVHLNLNCDEIOAH00720007",1,2,7
"TQRMNORXRHLNLNCDEIOAH00720000",1,1,3
"TQRMNOPTRHMMLNCDEIOAH00713620",1,1,7
"TQRMNOPTSHMMLNCDEIOAH00713621",1,1,10
"TQRMNOTTWHJMLNCDEIOAH00794178",1,1,10
"TQRMNOTUPHJMLNCDEIOAH00794179",1,1,7
"TQRMNOTUPHJMLNCDEIOAH00794179",1,2,4
"TQRMNORXXHJNKNCDEGJBF00794180",1,3,6
"TQRMNOQQSHLOKNCDEGJBF00716115",1,1,4
"TQRMNORWQHLOKNCDEGJBF00716250",1,1,5
"TQRMNORWQHLOKNCDEGJBF00716250",1,2,12
"TQRMNOPSPHKMLNCDEFPCH00794181",1,1,2
"TQRMNORPPHKOLOCDEFPCH00794182",1,1,6
"TQRMNOSYPHMNLOCDEFPCH00715604",1,1,6
"TQRMNOSYPHMNLOCDEFPCH00715604",1,2,2
"TQRMNOSYPHMNLOCDEFPCH00715604",1,3,3
"TQRMNOPTXHKOLQCDEFPCH00788404",1,1,1
"TQRMNOPTXHKOLQCDEFPCH00788404",1,2,7
"TQRMNOSPRHMOLQCDEFPCH00713726",1,2,8
"TQRMNOSPUHMOLQCDEFPCH00713727",1,1,5
"TQRMNORUPHLOLQCDEFPCH00715606",1,1,3
"TQRMNORUPHLOLQCDEFPCH00715606",1,2,5
"TQRMNOPURHJOLQCDEFPCH00794183",1,1,2
"TQRMNOPURHJOLQCDEFPCH00794183",1,2,3
"TQRMNOPQWHLOKMCDEOHCH00781396",1,1,5
"TQRMNOPQWHLOKMCDEOHCH00781396",1,2,4
"TQRMNOPQTHKLKMCDEOHCH00792879",1,1,1
"TQRMNOPQTHKLKMCDEOHCH00792879",1,2,7
"TQRMNOSYYHKKKNCDEOHCH00792877",1,1,5
"TQRMNOUQRHKLRNCDEIJAH00794184",1,1,14
"TQRMNOQQXHLKSPCDEIJAH00780906",1,1,8
"TQRMNORVUHLOQUCDEIJAH00719027",1,1,5
"TQRMNORTQHJMRMCDEIJAH00794185",1,1,12
"TQSMNOSUVHMOSQCDEIJAH00794187",1,1,10
